# Mr. Estimator v0.1.8
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9797952672268566
# tau = 48.99165345672324 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 |   47.311 | 0.97908523
#  0.250 |   47.968 | 0.97936859
#  0.400 |   48.919 | 0.97976541
#  0.500 |   49.249 | 0.97989988
#  0.600 |   49.677 | 0.98007125
#  0.750 |   50.368 | 0.98034204
#  0.875 |   50.992 | 0.98057999
# 
# fitrange: 1 <= k <= 500 [1 bp steps]
# function: $|A| e^{-k/\tau}$
# 	tau [bp steps]   = 48.99165345672324
# 	A                = 0.5821208358273979
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9809023286590158
# tau = 51.86079807556129 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 |   50.115 | 0.98024375
#  0.250 |   50.942 | 0.98056129
#  0.400 |   51.659 | 0.98082834
#  0.500 |   52.031 | 0.98096426
#  0.600 |   52.364 | 0.98108409
#  0.750 |   52.985 | 0.98130386
#  0.875 |   53.559 | 0.98150213
# 
# fitrange: 1 <= k <= 500 [1 bp steps]
# function: $|A| e^{-k/\tau} + O$
# 	tau [bp steps]   = 51.86079807556129
# 	A                = 0.5829741452810505
# 	O                = -0.008794278384526543
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[bp_steps]	2_coefficients	3_stderrs
1.000000000000000000e+00	5.653584504703350611e-01	7.242105406144648712e-03
2.000000000000000000e+00	5.527064347967913793e-01	6.898848720605081641e-03
3.000000000000000000e+00	5.416345670211456520e-01	8.106922813781952328e-03
4.000000000000000000e+00	5.295703633833269697e-01	8.216574023518483094e-03
5.000000000000000000e+00	5.205394084529938459e-01	8.001200578404516969e-03
6.000000000000000000e+00	5.091514733057430631e-01	8.272672363443223445e-03
7.000000000000000000e+00	5.005687932678098973e-01	7.912081136809464427e-03
8.000000000000000000e+00	4.888005173852558727e-01	7.221930782328627764e-03
9.000000000000000000e+00	4.806684132317873837e-01	8.335815584781285786e-03
1.000000000000000000e+01	4.683347075728280240e-01	8.430300296332533111e-03
1.100000000000000000e+01	4.594328184635397827e-01	7.943316766298565146e-03
1.200000000000000000e+01	4.529939093290131225e-01	9.011782515825407860e-03
1.300000000000000000e+01	4.441300887457932944e-01	9.661460073525031736e-03
1.400000000000000000e+01	4.333850738553879367e-01	7.957110758252622026e-03
1.500000000000000000e+01	4.248007682224506087e-01	7.728207957684677179e-03
1.600000000000000000e+01	4.181734379832420245e-01	8.397712634758297892e-03
1.700000000000000000e+01	4.086942153729919980e-01	7.772832485772142481e-03
1.800000000000000000e+01	4.003242589624503300e-01	8.133255929887428168e-03
1.900000000000000000e+01	3.932505825332950344e-01	8.297403690769228346e-03
2.000000000000000000e+01	3.847338654656209389e-01	8.081498543213563868e-03
2.100000000000000000e+01	3.787970803645269169e-01	7.902904877423283861e-03
2.200000000000000000e+01	3.717761622345760464e-01	8.189039678250598434e-03
2.300000000000000000e+01	3.635907453607698514e-01	8.660837304189136776e-03
2.400000000000000000e+01	3.542428526156028989e-01	8.790432484401302857e-03
2.500000000000000000e+01	3.490038489244320363e-01	8.326444688582563050e-03
2.600000000000000000e+01	3.427446490450549721e-01	8.061128851125492004e-03
2.700000000000000000e+01	3.353664990375233024e-01	8.018880483647124885e-03
2.800000000000000000e+01	3.301405485686932373e-01	8.468670258316272209e-03
2.900000000000000000e+01	3.227824658460149987e-01	8.394522997765498443e-03
3.000000000000000000e+01	3.157221658694611133e-01	7.958069474877234664e-03
3.100000000000000000e+01	3.113239901997809089e-01	7.518922063698110954e-03
3.200000000000000000e+01	3.047390203578819734e-01	7.424853366373944559e-03
3.300000000000000000e+01	2.975226150808243375e-01	7.846410812276336313e-03
3.400000000000000000e+01	2.903354130246220133e-01	7.864241886289093444e-03
3.500000000000000000e+01	2.834906352912699989e-01	7.895772091714296434e-03
3.600000000000000000e+01	2.798048194312328651e-01	7.368641371347905977e-03
3.700000000000000000e+01	2.745264938872054028e-01	7.972658836565680099e-03
3.800000000000000000e+01	2.692228978309901821e-01	7.338980191227513147e-03
3.900000000000000000e+01	2.626712121486745044e-01	7.007023605488069649e-03
4.000000000000000000e+01	2.564178318520792810e-01	7.687116879907066394e-03
4.100000000000000000e+01	2.525643278283192794e-01	7.927608277202829318e-03
4.200000000000000000e+01	2.504066792245211448e-01	7.005253242401645979e-03
4.300000000000000000e+01	2.437072605235093281e-01	7.123780055705008010e-03
4.400000000000000000e+01	2.379303069208999200e-01	7.882571707214496709e-03
4.500000000000000000e+01	2.338725539891384209e-01	7.760626815183422136e-03
4.600000000000000000e+01	2.299105770614683353e-01	8.379621349586717505e-03
4.700000000000000000e+01	2.249185747311489847e-01	8.225983018335754002e-03
4.800000000000000000e+01	2.226305510022577039e-01	7.832200073962854170e-03
4.900000000000000000e+01	2.212560769479750555e-01	7.996401918604265774e-03
5.000000000000000000e+01	2.135380628581562135e-01	7.215954462479877429e-03
5.100000000000000000e+01	2.096135439603555306e-01	7.857596146527191100e-03
5.200000000000000000e+01	2.051975672824580821e-01	8.106767030006165053e-03
5.300000000000000000e+01	2.019455243903881814e-01	7.409192416220975429e-03
5.400000000000000000e+01	1.982023882664161463e-01	7.770004599032597457e-03
5.500000000000000000e+01	1.960389664825655798e-01	7.079434689360562458e-03
5.600000000000000000e+01	1.914517019568599265e-01	7.393554632595530744e-03
5.700000000000000000e+01	1.879585923746215081e-01	7.254224544522458462e-03
5.800000000000000000e+01	1.844137212756677691e-01	8.156877192124042247e-03
5.900000000000000000e+01	1.819172799925189710e-01	7.562799592439408553e-03
6.000000000000000000e+01	1.795492203657377273e-01	7.837418787122176975e-03
6.100000000000000000e+01	1.763448437667311519e-01	7.406085038923732912e-03
6.200000000000000000e+01	1.717507532369287326e-01	7.483961044473236637e-03
6.300000000000000000e+01	1.717336533880459704e-01	7.389244448117921783e-03
6.400000000000000000e+01	1.664651257789021843e-01	7.398865624159257394e-03
6.500000000000000000e+01	1.641009371960520102e-01	7.203032752727223272e-03
6.600000000000000000e+01	1.617001755727888179e-01	7.284549514161266053e-03
